"面积","房型","装修","租金压付","租金","楼层","所属区域","所在小区","朝向","租赁方式","类型","位置","标题"
"143平米","3室2厅2卫","精装修","半年付押1","2000元/月","7/24","长安","航天翼城","南北","整租","普通住宅","航天城","航天城 三室空房 有空调 业主急租可居家可办公 有钥匙随时看"
"55平米","1室1厅1卫","精装修","面议","2300元/月","20/33","碑林","长安大街3号","西南","整租","普通住宅","南稍门","精装干净温馨标准一室全配采光好随时看、长安大街三3号、体育场"
"41平米","1室1卫","精装修","半年付","1600元/月","32/32","雁塔","九形道","朝北","整租","普通住宅","大寨路","玛雅 大寨路九形道一室开间精装全配 精彩生活由从开始"
"106平米","2室2厅1卫","简单装修","半年付押1","2000元/月","5/11","未央","EE康城西区","南北","整租","普通住宅","张家堡","凤城八路 双地铁口 经典2室 家具家电基本全齐 物超所值"
"93平米","2室2厅1卫","精装修","半年付押1","2200元/月","15/18","未央","锦园君逸","南北","整租","普通住宅","市图书馆","城北 太华路 锦园君逸 精装修 2室 拎包入住 2200元"
"120平米","3室2厅2卫","简单装修","半年付押1","2500元/月","15/28","雁塔","榕青无界","西南","整租","普通住宅","长安西路","榕青无.界 三室两厅两卫  全配  精装 看房方便"
"86平米","2室2厅1卫","精装修","半年付押1","1800元/月","12/18","未央","浐灞半岛新泽美域A6区","朝南","整租","普通住宅","浐灞半岛","出租浐灞半岛两室精装，学校近，车站近，看房方便"
"73平米","2室2厅1卫","精装修","半年付","1600元/月","24/27","莲湖","天朗莱茵小城","朝西","整租","普通住宅","红光路","天朗莱茵小城精装两室，房子舒适干净。拎包入住随时可以看房"
"48平米","1室1厅1卫","精装修","面议","1600元/月","26/32","莲湖","御溪望城","朝南","整租","普通住宅","西关正街","丰庆路 西工大旁 御溪望城大开间 1600全配精装有钥匙"
"87平米","2室2厅1卫","简单装修","面议","2300元/月","9/33","未央","天朗御湖","东北","整租","普通住宅","张家堡","凤城八路 天朗御湖 两室全配简单装修 适合居家 随时看房"
"134平米","3室2厅2卫","精装修","半年付","1800元/月","9/11","灞桥","沁水新城","朝南","整租","普通住宅","长乐坡","沁水新城，三室空房，有钥匙，随时看房！"
"70平米","2室2厅1卫","简单装修","年付","1800元/月","1/7","碑林","陕西电力设计院家属院","南北","整租","普通住宅","李家村","电力设计院*好房 南北通透 只租1800"
"89平米","3室2厅1卫","精装修","面议","2800元/月","17/33","雁塔","龙湖紫都城","朝南","整租","普通住宅","曲江大道","龙湖紫都城 三室精装全配 临地铁 采光好"
"29平米","3室2厅2卫","精装修","付1押1","800元/月","6/34","未央","协合家苑","南北","合租","公寓","方新村","轻松月付 单间合租 未央区 文景路 方新村 协合家苑小区"
"49平米","1室1卫","简单装修","半年付","1100元/月","11/23","未央","白桦林居","朝东","整租","普通住宅","行政中心","城市运动公园对面 白桦林居  一室精装修 高档小区"
"112平米","3室2厅2卫","精装修","面议","3800元/月","7/32","雁塔","中海城","南北","整租","普通住宅","曲江城市运动公园","品质社区享受生活 中海城112平三室两厅精装修拎包入住带车位"
"70平米","2室1厅1卫","精装修","半年付","2200元/月","2/18","雁塔","冠城国际","南北","整租","普通住宅","高新一中","冠城国际两室精装全配，业主自住房，看房方便，钥匙在店"
"95平米","2室2厅1卫","精装修","半年付","3000元/月","19/32","碑林","中贸广场","朝南","整租","普通住宅","南稍门","南稍门地铁口中贸广场办公楼2室2厅精装空房   交通便利急租"
"55平米","1室1卫","精装修","面议","2300元/月","16/32","雁塔","紫薇曲江意境","朝南","整租","普通住宅","南湖","曲江新区，紫薇曲江意境，精装全配，拎包入住，看房随时"
"22平米","5室2卫","精装修","付1押1","700元/月","12/33","长安","紫薇田园都市A区天山雪莲","朝南","合租","普通住宅","祝村中学","高新博士路旁主卧可月租月付，月签出租，有空调！押金200元！"
"139平米","3室2厅2卫","精装修","年付押1","5000元/月","31/34","雁塔","中海碧林湾","南北","整租","普通住宅","大唐芙蓉园","中海碧林湾 三室精装全配 业主自住标准 拎包入住 看房方便"
"96平米","2室2厅1卫","精装修","半年付押1","3000元/月","21/26","雁塔","天地源枫林意树","朝南","整租","普通住宅","木塔寺公园","科技六路枫林意树大社区环境好市政供暖物业服务到位拎包入住！"
"106平米","3室2厅1卫","精装修","半年付","3000元/月","21/33","雁塔","曲江香都","朝南","整租","普通住宅","曲江城市运动公园","金羊路+曲江香都精装三室全配+采光好温馨舒适急租"
"45平米","1室1厅1卫","精装修","半年付","1200元/月","28/32","灞桥","万合世家","朝南","整租","普通住宅","长乐坡","咸宁东路 田家湾 万和世家 精装一室 家具家电全配 交通方便"
"65平米","1室1厅1卫","精装修","半年付押1","2000元/月","18/33","雁塔","橡树星座","东南","整租","普通住宅","高新一中","橡树星座一室一厅  全配  舒适度高 随时看房"
"98平米","3室1厅1卫","简单装修","面议","1600元/月","3/6","灞桥","金裕青青家园","南北","整租","普通住宅","十里铺","矿山路金裕青青家园西区三室全配拎包入住看房有钥匙"
"68平米","2室1厅1卫","精装修","付3押1","2300元/月","28/33","雁塔","锦业时代","朝南","整租","普通住宅","锦业路","绿地中心、锦业时代 精装两室，家电齐全，欢迎随时看房"
"95平米","2室2厅1卫","精装修","付3押1","2500元/月","5/33","雁塔","中海观园B区","朝南","整租","普通住宅","曲江大道","中海观园精装两室全配，采光好，交通便利。"
"110平米","2室2厅1卫","精装修","面议","1900元/月","17/33","雁塔","江林新城","朝南","整租","普通住宅","电子城","业主急租 江林新城 精装两室 居家必选 电子城 子午大道"
"64平米","1室1厅1卫","精装修","半年付","1800元/月","15/30","雁塔","高科尚都","朝北","整租","普通住宅","锦业路","急租！华为锦业路丈八路大会堂高科尚都精装小一室拎包入住！"
"15平米","3室1厅1卫","精装修","付3押1","450元/月","3/7","碑林","抗震家属院","朝南","合租","公寓","李家村","无*李家村建东街安东街长胜街 建筑科技大学"
"83平米","2室2厅1卫","精装修","半年付押1","2400元/月","9/32","莲湖","蔚蓝印象","西北","整租","普通住宅","丰禾路","玉祥门地铁口，蔚蓝印象，精装两室，业主急租，看房方便"
"92平米","2室2厅1卫","精装修","半年付","2000元/月","18/28","未央","凤鸣华府","南北","整租","普通住宅","市图书馆","急租！三星小学旁 凤鸣华府 精美两室 配置齐全 拎包入住"
"45平米","1室1卫","精装修","半年付","1800元/月","16/30","雁塔","长丰园小区","南北","整租","普通住宅","电视塔","会展中心地铁口 精装一室 双气入户 中间楼层 随时看房"
"40平米","1室1厅1卫","精装修","面议","1200元/月","8/27","灞桥","东方罗马花园","朝北","整租","普通住宅","十里铺","新出钥匙房源 全齐干净整洁 随时入住 临地铁 翠屏湾罗马嘉园"
"20平米","4室2厅2卫","豪华装修","付1押1","750元/月","12/30","雁塔","长丰园小区","朝南","合租","普通住宅","电视塔","电视塔，长丰园，三期，精美合租公寓，男女不限，随时入住"
"108平米","3室2厅1卫","精装修","面议","2400元/月","8/33","未央","城市锦上","南北","整租","普通住宅","市图书馆","城市锦上 3室2厅 108平"
"140平米","4室2厅2卫","精装修","半年付押1","6600元/月","26/32","碑林","中贸广场","朝东","整租","普通住宅","南稍门","长安路 南稍门 中贸广场 办公大房子 交通便利"
"160平米","4室2厅2卫","精装修","半年付","4500元/月","12/18","雁塔","融侨紫薇馨苑","南北","整租","普通住宅","电子城","电子城 金泰 裕昌 融侨馨苑 豪装四室全配 拎包入住"
"38平米","1室1卫","精装修","半年付押1","1800元/月","19/31","雁塔","天朗蓝湖树","朝北","整租","普通住宅","鱼化寨","天朗蓝湖树 科技路西口，地铁3号线，一室精装全配，拎包入住"
"136平米","3室2厅2卫","豪华装修","面议","8500元/月","10/11","雁塔","绿地世纪城新里仕嘉公寓","南北","整租","普通住宅","锦业路","高新区 锦业路 绿地世纪城 三室豪华装修 拎包入住"
"85平米","2室1厅1卫","精装修","付3押1","2700元/月","6/33","碑林","大话南门","朝东","整租","普通住宅","南稍门","南稍门地铁口 大话南门 精装两室全配 拎包住"
"107平米","3室2厅1卫","精装修","面议","2000元/月","10/18","灞桥","恒大绿洲","南北","整租","普通住宅","长乐坡","恒大绿洲 3室2厅 107平"
"65平米","2室2厅1卫","精装修","付3押1","1400元/月","14/34","雁塔","万科高新华府","西北","整租","普通住宅","西沣路","西沣二路 金地西沣馨苑 精装两室 家具家电全带 看房有钥匙"
"90平米","3室2厅1卫","简单装修","面议","2100元/月","7/7","雁塔","枫叶高层","南北","整租","普通住宅","光华路","科技四路 简装三室 枫叶高层 南北通透 拎.包入住"
"47平米","1室1卫","精装修","半年付","1500元/月","21/25","未央","天汉中心","朝西","整租","普通住宅","行政中心","凤城九路 文景学校天汉中心一室精装修 拎包入住 便宜出租"
"46平米","1室1厅1卫","简单装修","半年付","1300元/月","23/30","莲湖","太奥国际城","朝南","整租","普通住宅","丰禾路","丰禾路 太奥广场 标准一室 空房1200 随时看房"
"130平米","3室2厅2卫","精装修","付3押1","5300元/月","32/33","雁塔","中铁梧桐苑","南北","整租","普通住宅","南湖","境商力荐 中铁梧桐苑 温泉入户 南北通透三室 拎包入住 诚租"
"158平米","3室2厅2卫","精装修","年付","3800元/月","22/24","未央","锦园新世纪","南北","整租","普通住宅","大明宫","锦园新世纪 精装修 现房出租 家具家电全有拎包入住"
"50平米","1室1厅1卫","精装修","付3押1","1400元/月","12/31","未央","盛龙广场A区","朝南","整租","普通住宅","方新村","盛龙广场 一室精装修全配 拎包入住"
"86平米","2室1厅1卫","精装修","半年付不押","2500元/月","17/33","未央","首创国际城","朝南","整租","普通住宅","北苑","首创国际城 2室1厅 86平"
"40平米","1室1厅1卫","简单装修","付3押1","1400元/月","12/32","雁塔","锦业时代","朝南","整租","普通住宅","锦业路","aa 软件园旁 锦业时代1室精装全配 小区环境优美 交通便利"
"98平米","2室1厅1卫","精装修","面议","1500元/月","16/18","雁塔","暖山西安","东南","整租","普通住宅","白杨寨","暖山西安 2室1厅 98平"
"43平米","1室1卫","简单装修","年付","1100元/月","6/26","雁塔","永和璞玉","朝西","整租","普通住宅","高新一中","丈八北路 科技四路永和璞玉一室开间空房 业主急租"
"50平米","1室1厅1卫","精装修","付3押1","1300元/月","8/33","灞桥","长乐壹号","朝北","整租","普通住宅","长乐坡","长乐坡地铁口 长乐壹号 一室全配 住家舒适 拎包入住"
"123平米","3室2厅2卫","精装修","年付","2500元/月","11/26","未央","大明宫逸居","南北","整租","普通住宅","市图书馆","大明宫逸居   万达广场对面  精装三室全配  随时看房"
"86平米","2室2厅2卫","简单装修","半年付","2500元/月","23/25","未央","白桦林居","朝南","整租","普通住宅","行政中心","市政府对面 精装两室 拎包入住"
"50平米","1室1厅1卫","精装修","半年付押1","1499元/月","11/29","新城","宫园壹号","朝南","整租","普通住宅","北关","龙首村 方新村 一室房源多 此房喜欢抓紧了 来晚没"
